,platform_num,date,content
0,4,2022-01-02,산업공학과 질문 받음.
1,4,2019-09-15,산업공학과 vs 안전공학과
2,4,2021-10-08,산업공학과 학벌 많이 따지나요?
3,4,2019-12-26,형들 기계공학과 vs 산업공학과 어떤 게 좋을까..?
4,4,2020-09-16,지거국 과기대 산업공학과 취업처인데 나름 괜찮은편 아니냐
5,4,2019-09-07,동아대 기계공학과 vs 금오공대 산업공학과 답변점
6,4,2020-07-31,주전공 산업공학과인데 컴공 부전 vs 복전
7,4,2021-10-07,"내년 프라임칼리지 산업공학과 진학하고 싶은데, 미리하면 좋을게 있을까요?"
8,4,2019-09-07,동아대 기계공학과 vs 금오공대 산업공학과 답변점
9,4,2019-07-29,산업공학과 vs 화공안전전공
10,4,2019-02-17,연세대 산업공학과 질문
11,4,2019-09-27,통계 관심있는 놈들 산업공학과로 와라
12,4,2021-02-06,인천대 산업공학과 인공 전화기 고민
13,4,2022-01-02,산업공학과 질문 받음.
14,4,2019-09-15,산업공학과 vs 안전공학과
15,4,2021-10-08,산업공학과 학벌 많이 따지나요?
16,4,2019-12-26,형들 기계공학과 vs 산업공학과 어떤 게 좋을까..?
17,4,2020-09-16,지거국 과기대 산업공학과 취업처인데 나름 괜찮은편 아니냐
18,4,2019-09-07,동아대 기계공학과 vs 금오공대 산업공학과 답변점
19,4,2020-07-31,주전공 산업공학과인데 컴공 부전 vs 복전
20,4,2021-10-07,"내년 프라임칼리지 산업공학과 진학하고 싶은데, 미리하면 좋을게 있을까요?"
21,4,2019-09-07,동아대 기계공학과 vs 금오공대 산업공학과 답변점
22,4,2019-07-29,산업공학과 vs 화공안전전공
23,4,2019-02-17,연세대 산업공학과 질문
24,4,2019-09-27,통계 관심있는 놈들 산업공학과로 와라
25,4,2021-02-06,인천대 산업공학과 인공 전화기 고민
26,4,2020-02-07,산업공학과 학교마다 커리 다르니 잘보고가라
27,4,2019-02-12,에리카 산경=산업공학과임
28,4,2019-05-29,성대 산업공학과 스마트제조연구팀.국내대학 최초 EUREKA SMART
29,4,2021-10-08,부산대 산업공학과 어떰?
30,4,2021-03-20,산업공학과 들었을때 인식이 어떰?
31,4,2021-10-20,인생 큰일난 지잡대 산업공학과 재학생 루트추천해주세요
32,4,2019-03-12,"성대 산업공학과,스마트공장 운영설계 전문인력양성사업 선정"
33,4,2021-01-04,산업공학과를 소개합니다
34,4,2020-01-31,님들 저 산업공학과인데
35,4,2019-12-22,산업공학과 출신은 안전관리쪽에서 어떤가요?
36,4,2021-04-21,산업공학과 취업 개 헬 아닌가
37,4,2020-05-13,건국대 산업공학과가 ㄹㅇ 아웃풋 개쩌는 곳임
38,4,2021-02-03,글로벌융합산업공학과(00학번) 이지형-5급 사무관 합격
39,4,2022-01-02,산업공학과 vs 화학과 << 이거는 어디가 더 좋나요?
40,4,2021-01-07,산업공학과 가기 싫은데
41,4,2021-02-10,에타핫게 산업공학과는 에타에서 자주 언급되네
42,4,2021-01-04,이과로 금융공학 하고싶으면 산업공학과가면 왜 안됨?
43,4,2021-07-09,명지대 산업공학과 노답임?
44,4,2019-11-23,전남대 산업공학과 vs 컴퓨터정보통신공학과
45,4,2020-04-16,산업공학과 다니지만 기술자 되고싶다
46,4,2021-10-27,산업공학과 다니거나 희망하시는 분 계신가요
47,4,2021-01-04,이과로 금융공학 하고싶으면 산업공학과가면 안됨?
48,4,2020-02-27,산업공학과 출신 개발자 많아?
49,4,2020-10-03,산업공학과 어떰?
50,4,2021-04-12,나도 산업공학과로 전과할까
51,4,2020-10-10,산업공학과 인식이 어떤 편인가요?
52,4,2020-02-29,서울대 산업공학과면 학벌 좋은거냐? 처음들어보는 학과인데
53,4,2019-12-03,산업공학과 전공에 대학수학 연관 큰가?
54,4,2020-07-13,여러분 산업공학과 어떻게 생각하세요??
55,4,2019-02-08,여기 산업경영이 흔히 말하는 산업공학과가 아님?
56,4,2021-04-29,산업공학과 + 국제학과 복수전공하면 시너지 클까 ?
57,4,2020-09-11,산업 공학과 괜찮음?
58,4,2020-08-16,경북대는 산업공학과가 없네...
59,4,2021-09-13,동국대 산업공학과이신 분
60,4,2020-09-27,산업공학과인데 전산실 가고시퍼요.....
61,4,2020-04-21,문과인데 이과쪽 대학가고싶다 =  컴공이나 산업공학과 가라 ㄹㅇ
62,4,2021-12-15,의공학과에서 산업공학과 편입 ㄱㅊ?
63,4,2021-02-27,산업공학과 어떰?
64,4,2020-05-31,산업공학과 ITM전공 이준하 SCI급 저널에 제1저자 논문 게재
65,4,2021-03-05,야 그럼 산업공학과
66,4,2019-06-30,산업공학과가 쓰레기냐?? 도와주라..
67,4,2019-08-16,4년제 산업공학과 취업 괜찮게 함?
68,4,2021-02-13,에타 핫게에 산공은 왜 있는거냐 산업공학과
69,4,2021-09-03,산업공학과인데 전산특기 가도 안털리겠지? ㅠ
70,4,2020-06-17,산업공학과 학점
71,4,2019-11-25,산업공학과인데
72,4,2019-02-10,전자공학과->산업공학과 어때?
73,4,2019-01-20,산업공학과가 공대 중위과정도임?
74,4,2021-07-19,산업공학과가 학교 내에서 인식이 간판따러가는 하위과 인식임?
75,4,2020-08-02,연고대 산업공학과 석사 들어가기 빡센편임?
76,4,2020-09-05,캐나다는 왜 산업공학과가 잘없냐...
77,4,2020-05-24,스카이 산업공학과 공부 많이 어렵냐?
78,4,2019-07-09,한양대 산업공학과..현차입사 식은죽먹기~~
79,4,2019-10-03,산업공학과 취업 나름 평타 치냐?
80,4,2020-09-05,형들 산업공학과는 뭐배우는 학과임? 취업은 잘됨?
81,4,2019-03-06,형들 공대 산업공학과는 도대체 뭐를 배우는 학문임?
82,4,2021-02-11,산업공학과가 일반인 인식 정말 개쓰레기 하위티어학과야??
83,4,2021-10-19,생물산업기계공학과 = 농기계과임.
84,4,2019-01-09,자 여기서 질문 산업공학과가 뭐하는데인데 ?
85,4,2019-12-06,산업공학과 스레기임??
86,4,2021-07-04,명지대 산업공학과 버리고 인하공전 기계과 가는거 ㅂㅅ짓임? 
87,4,2020-05-13,건국대 산업공학과 씹오진다 ... 
88,4,2021-03-17,원래 산업공학과 나온놈들이 주식 잘하냐?
89,4,2021-01-12,요즘 고대는 산업공학과가 엄청 뜨고있음
90,4,2021-11-26,산업ICT기술공학과 정보
91,4,2021-12-29,산업시스템공학과vs농대 어디 감?
92,4,2021-02-25,질문)형들 산업공학과는 도대체 뭐하는 학과임? 취업잘됨?
93,4,2020-10-11,인천대 산업공학과정도면 괜찮아??
94,4,2020-03-09,산업공학과가 ㄱㅊ은편이긴 한데
95,4,2021-11-28,"도메인으로 산업공학과,컴공은 어떻게 생각함?"
96,4,2019-02-12,아주대 산업공학과
97,4,2019-02-13,산업공학과이면 준메 아님 비메??
98,4,2020-06-19,산업공학과인데 자격증 뭐따야됨?
99,4,2020-03-19,산업공학과 복수전공
100,4,2019-01-28,[속보] 서울대 산업공학과 ((울학교 이과반))
101,4,2020-12-30,산업공학과 아시는분
102,4,2019-02-18,산업공학과는 준메냐 비메냐??
103,4,2021-08-01,님들 산업공학과는 뭐배우는 학과임? 취업 잘되나요??
104,4,2019-09-03,산업공학과에서 기계로 전과했는데
105,4,2021-01-22,산업공학과가 학교네임이 올라갈수록 ㅅㅌㅊ과됨
106,4,2019-05-12,저는 산업공학과이고 경영학과 파이썬을 배웁니다.
107,4,2021-08-27,산업공학과는 인강이 없나...?
108,4,2021-04-26,산업공학과나온 자갤럼있냐?
109,4,2021-12-20,부산대 산업공학과 편입 나중에 넣을생각인데
110,4,2020-02-10,혹시 산업공학과이신분 계신가요??
111,4,2019-01-30,산업공학과면 공대 ㅍㅌㅊ 학과냐?
112,4,2020-02-27,여기 산업공학과어때?
113,4,2020-02-14,형들 산업공학과는 도대체 뭘배우는 학과임?
114,4,2021-12-18,산업데이터공학과<<<<뭐배우는 학과임?
115,4,2019-01-30,산업공학과면 ㅍㅌㅊ공대야?
