,platform_num,date,content
0,1,2021-03-09,산업공학과 선택과목 고르는게 어렵다면?
1,1,2021-12-02,"잘나가는 CEO, 다 산업공학과 출신이네!"
2,1,2021-11-15,"학점은행제 산업공학과,중퇴자도 빠르게 학사학위 취득가능!"
3,1,2022-01-04,"신은 마음을, 사람은 겉모습을 본다지만 / 박희준 연세대 산업공학과 교수"
4,1,2021-09-10,"취업률 80% 이상 달성, 지역 산업 맞춤형 전문 인력을 양성하는 산업공학과를 소개합니다!"
5,1,2021-08-23,학과별 독서활동 : 산업공학과
6,1,2022-01-10,산업공학과 취업 진로 및 개설 대학은?
7,1,2020-03-25,"전공공부방법#02 <산업공학과> 1,2학년 중요한 과목, 향후 진로"
8,1,2021-04-13,산업공학과 전망 확인하고 준비하기
9,1,2021-12-25,"융합의 시대, 산업공학과 출신들 잘나갑니다."
10,1,2021-09-10,산업공학과 대학 순위 보다 더 중요한 것은?
11,1,2021-10-21,"산업공학과 진로, 진출 분야 및 관련 직업 전망"
12,1,2021-12-22,2022 서울대 지균 산업공학과 면접후기
13,1,2022-01-08,"학점은행제 산업공학, 전문대 산업공학과 졸업 후 학위개선방법"
14,1,2021-02-03,취업 잘되는 산업공학과 대학교 지원 꿀팁
15,1,2021-05-11,[생생인터뷰] 혜원여고 졸업생 동국대학교 산업공학과 합격후기
16,1,2021-12-24,산업공학과 편입 공부 어떻게 시작하면 될까요?
17,1,2020-08-22,[학과 소개] 4차 산업혁명 시대를 이끈다! 산업공학과
18,1,2021-12-05,산업 분야의 과학적 원리에 경영학을 접목한 산업공학과 선택과목 및 생기부 세특 관리 방법 알아보자!
19,1,2021-09-15,2022학년도 인천대 산업경영공학과 편입생을 위해
20,1,2022-01-05,국제적인 경쟁력을 갖춘 공학인을 양성하는 아주대 산업공학과
21,1,2021-10-12,"산업공학과 졸업후, 산업공학도로서 코딩테스트 준비 + 요즘은 1일 1커밋을 하려 노력중이다"
22,1,2021-10-03,학점은행제 산업공학과 관련전공 전문대 산업과 졸업후 학위개선방법
23,1,2021-11-08,서울과학기술대 수시면접 질문(산업공학과/기계시스템디자인공학과/건설시스템공학과/전자IT미디어공학과/신소재공학과/컴퓨터공학과)
24,1,2021-12-29,산업공학과 진로 다양하고 취업률도 좋아
25,1,2021-06-21,[서울대학교 산업공학과] 재외국민 12년 특례 합격자 인터뷰 및 합격전략
26,1,2021-11-19,"더플랜진학, 산업공학과 알아보기"
27,1,2021-06-25,산업공학과 학종 준비 이렇게 하세요!
28,1,2021-03-03,산업공학과 전망과 취업
29,1,2020-05-24,슬기로운 산업공학과 생활:) #오산대 #산업공학과
30,1,2021-04-21,[무역협회]제150회 KITA 최고경영자 조찬회 온라인 개최안내(김상균 강원대학교 산업공학과 교수)
31,1,2021-10-11,"공학과 경영의 융합, <산업공학과> 학과정보 알아보기!"
32,1,2021-02-04,산업공학과 추가모집 예상 대학 찾기 어렵다면?
33,1,2020-07-02,[이달의강사] #56 조성준 서울대학교 산업공학과 교수 │ KMA 한국능률협회
34,1,2021-06-24,"[산업공학과] 김보성 교수, 제품에 들어가는 수많은 부품, 직접 생산할까? 구매할까?"
35,1,2020-11-18,산업공학과 순위 및 학과 전망
36,1,2022-01-09,인천 입시컨설팅/아주대 산업공학과 합격사례(2023 아주대 수시등급 및 경쟁률)
37,1,2021-03-24,[소개문]산업공학과? 그곳이 뭐하는 곳인데??
38,1,2022-01-05,[한양대학교 산업공학과] 대학원 합격전략 및 연구계획서 준비방법
