,platform_num,date,content
0,2,2021-11-19,"산업공학과 졸업생이이에요
멈춰!
당장 멈춰!
정말 쓸데없는 공부에요 미적분은
미적분의 ㅁ도 공부 안합니다.
1학년 때 공학인증 제도로 기본적인 수학을 할 수도 있는데 있으면 그때 가서 조금 해서 학점만 받아두세요
통계 공부 하세요 그게 훨씬 더 도움됩니다"
1,2,2021-12-11,"찾아보니 수학 경영 통계쪽을 배우는 것으로 보아 파이썬과 R프로그래밍을 배워서 빅 데이터 분야로 가는 것이 가장 나아보입니다. 여기로 가면 금융권이나 공기업, 사기업 등 여러 기관의 데이터베이스를 관리하는 것도 가능하게 되지요.
아니면 산업공학과에서도 코딩을 은근 취급하는만큼 웹 & 앱 개발에 관한 실무 능력을 키워서 웹 & 앱 개발자로 먼저 경력을 쌓은 다음에 기업의 데이터베이스 인력 채용으로 빠지는 것도 괜찮다고 생각합니다. KG ITBANK 맞춤상담센터
ssk.itbank.academy IT 진로, 취업, 교육 상담
#IT #진로 #진학 #취업 #IT교육 #코딩교육 #국비지원 #SW특기자전형 #정보올림피아드 #코드페어 #IT특기병 #IT자격증 #정보보안
open.kakao.com  앱 개발 및 빅데이터 정보보안 등의 학과는 산업공학보단
컴퓨터공학 및 통신계열의 학과 학위를 졸업해야합니다.
빠른상담 : 010.5676.4159   앱개발자, 웹개발자, 화이트해커, 사이버수사대 등의 진출분야가 있는데
회사는 질문자님이 정하는 것이며 회사에서 요구하는 역량을 채워서
취업을 하는거에요. 
만약 빅데이터 관련으로 가고 싶으면 R 프로그래밍이 가능한 분을
회사에서 찾고 계실 것이고 그에 맞는 교육은 전문교육기관에서
배우고 가시는 게 맞습니다.
추가로 궁금하신 것은 하단의 오픈카톡 이용해주세용 진쌤 1:1 맞춤 교육상담소님의 오픈프로필
#개발자 #엔지니어 #정보보안전문가 #실내인테리어 #무대디자이너 #가구디자이너 #IT자격증 #자바학원 #C언어 #파이썬 #화이트해커 #개발자
open.kakao.com "
2,2,2021-11-13,"안녕하세요 동국대 산업공학과 답변드립니다.
보통 2점 후반에서 3점 후반까지라고 보시면 됩니다.
입시는 절대적인 수치가 아니기에, 편차는 달라질 수 있으며 매년 입시결과는 바뀝니다."
3,2,2021-07-31,"안녕하세요 대진대학교 서포터즈입니다!
산업공학과는 한 학문에 한정되어있지 않고 진출 분야도 다양하기때문에 어떤 활동을 해도 큰 상관이 없습니다!  굳이 추천을 드린다며 산업공학과로  입학시 배우는 전공과목들을 배우는데 있어서 도움이되는 확률과 통계, 데이터분석, 회계관련 책들을 읽으면 도움이 되지 않을까 생각합니다!
현재 산업공학과 지망중이시라면  대진대학교 산업경영공학과도 한번 알아보세요! 
더 궁금한 내용있으시면 언제든지 질문주세요! https://post.naver.com/viewer/postView.nhn?volumeNo=17228869&memberNo=9648774 [학종]'고교생활가이드' 산업공학과 선배가 말해주는 학과/진로 탐색
[BY 오대교수능연구소] [수시전형] 학생부종합전형준비'고교생활가이드' 서울대 선배가 말해주는 학과...
post.naver.com 참고하시기 바라며 현재 내신으로 지원 가능한
선문대 산업경영공학과 소개해드리겠습니다
선문대 산업경영공학과에서는
4차산업혁명 시대에 필요한 공학적 지식과
경영학적 마인드를 갖춘 융합형 인재 양성을 목표로 합니다
* 산업안전기사, 품질경영기사 등의 자격증 취득을 위한 방학 중 무료 자격증 특강 실시
* 신입생의 학습능력을 증진 시키기 위한 자율적 학과 멘토멘티 체계 구축
* 품질, CPIM, 물류로지스피아, 소프트웨어 등 전공 동아리 운영
* SW중심대학, 4차산업혁명 혁신선도대학 등 주요 사업에 참여
IT기술과 생산, 물류, 품질 및 산업 안전 분야에 대한
전문적인 교육을 제공하고 학생들을 위한 교육 환경과
다양한 장학지원 프로그램 등 우수한 교육여건을
보유하고 있는 선문대 산업경영공학과에서 꿈을 펼쳐보세요!
https://youtu.be/5d12PuPTYE0  "
4,2,2021-05-11,"산업공학과가 이과계열에 속해 있어
확통과 미적분이 제일 좋을 거 같습니다.
수능 수학도 미적분 선택지가 제일 많으니 유의하시기 바랍니다.
다만, 대학별로 일부 상이하므로 지원을 원하시는 대학 모집요강을 미리 확인해 보시고, 경제수학 선택여부를 최종결정하시기 바랍니다."
5,2,2021-02-02,"안녕하세요. 해외취업전문가 장흥찬 입니다.
일단 산업공학 전공으로는 미국으로 진행할 수 있는 회사가 너무나 많습니다.
제조업에 품질관리, 생산관리도 가능하고
물류회사도 진행할 수 있습니다.
졸업 후 바로 미국취업 비자(H비자)를 진행하기는 어려우나
J비자를 통행서 미국에서 근무하면서 H비자 및 영주권 스폰을 받아 미국에서 장기체류에 성공할 수 있습니다.
IT계열을 선호한다는 질문이 프로그래머들이 채용이 잘 되는지에 대한 질문이라면
제 답변은 아닙니다.
IT전공자들이 오히려 취업이 더 어려운 경우가 있습니다.
그 이유를 잠깐 설명하면 국내에서 컴퓨터공학 등 IT관련 전공자들이 할 수 있는 프로그래밍 언어는 C언어 및 자바 정도 입니다.
그런데 미국에서는 이것만 해서는 채용이 쉽지 않습니다.
나중에 어떤 업무를 희망하는지 모르겠으나,
미국에서 하고자 하는 업무가 전자공학과 관련있다면 부전공 및 복수전공을 선택하는게 맞습니다.
미국의 경우 비자규정에 의하여 미국에서 담당하는 업무와 관련된 전공자여야하기에
지금하고 있는 전공을 살릴 생각이 없다면 부/복수전공을 통해 학위를 추가로 취득하기를 추천합니다.
궁금한 사항이 있다면 언제든지 문의주세요.
감사합니다.
해외취업전문기업 워크브릿지
www.workbridge.co.kr 해외취업전문기업 워크브릿지
해외취업전문기업 워크브릿지
www.workbridge.co.kr  "
6,2,2021-12-28,"안녕하세요
전북대 IT지능정보공학과가 괜찮아 보입니다.
산업공학과보다는 컴공 계열의 취업률이 높습니다. 산업공학 보다는 it분야가 비전이 좋죠
하지만 비전이 좋다고 방심하면 안되고 그에 맞게 공부도 더 열심히 하셔야 하는데요
입학대비 어떤 공부를 준비해야할지 고민이라면 도와드릴 수 있답니다 코리아IT아카데미 문성현 멘토
- - 상담 신청하기 개인정보처리방침 에 동의 하시겠습니까? Previous Next pused 수강료조회 사전등록 이벤트! 방학특강조회 국비지원 조회 내게맞는과정찾기 051-914-5905 주말·공휴일 상담 및 접수가 가능합니다. 국비개강일정 강남보안 정보시스템 진단분석 전문가 양성C-01.18 개강 신촌자바 스마트콘텐츠 융합 웹 응용프로그래밍 개발자 양성-01.21개강 신촌보안 ICT정보보안(모의해킹) 및 침해사고 대응과정-01.24개강 강남보안 정보시스템 진단분석 전문가 양성C-01.18 개강 신촌자바 스마트콘텐츠 융합 웹 응...
busan-koreaisacademy.net "
7,2,2021-01-18,"산업공학과 관련 과목이니 참고하세요.  교과영역
교과(군)
공통과목
선택과목
일반선택
진로선택
기초
국어
국어
화법과 작문, 독서,
언어와 매체, 문학
  수학
수학
수학Ⅰ, 수학Ⅱ,
미적분, 확률과 통계
기하, 경제 수학
영어
영어
영어Ⅰ, 영어Ⅱ,
영어 독해와 작문
  한국사
한국사
    탐구
사회
(역사, 도덕)
통합사회
사회･문화, 경제
  과학
통합과학
과학탐구실험
물리학Ⅰ, 화학Ⅰ
물리학Ⅱ, 화학Ⅱ, 융합과학
생활
교양
    기술･가정, 정보
공학일반, 창의경영,
지식재산일반 "
8,2,2021-05-28,"대부분 일반사무 부분은 학과제한이 없으니 지원하시고
기술쪽으로는 산업공학과 또는 품질경영기사  채용이 많습니다. 
원하는 분야나 해당 기업채용공고를 정확히 보고 추가 자격이 필요한지 확인한게 좋을 듯합니다.
토익은 경계선에 있는 점수라 좀더 올려야 할 듯합니다."
9,2,2021-05-29,"산업경영공학과는 이과쪽 계열에 속합니다.
학과 이름 중 공학, 공학과로 들어간 명칭의 학과 계열은 공대계열, 이과 계열에 속합니다. 산업공학과(이과)는 확률을 많이 다루는 경영학과라고 보시면 됩니다.  
경영학과(문과)는 기업에 초점을 맞춘 학문입니다. 
경영학과 진학을 진지하게 고려하고 있으시다면 경영학과에서 배우는 과목들과
 경영학과를 졸업한 후 갈 수 있는 다양한 진로에 대해 알아보고
 본인에게 맞는 방향과 뚜렷한 목표를 세우시는 것을 추천합니다. 이 글 읽어보시면 좋겠습니다.
 http://bit.ly/2S9SvLp <유저씨> 경영학과 진로 테크트리 소개
경영학과 진로 테크트리 소개 경영학과에서 배운 내용으로 전문자격증, 금융공기업, 일반기업 등에 도전하고자 한다면 반드시 생각해 봐야 할 사항 총정리! 본 문서의 저작권은 ‘유저씨’에게 있습니다. 무단 도용, 복제 및 사용을 금지하며,  저작권자의 허락없이 무단 사용시에 관계 법령에 의거하여 처벌받을 수 있습니다.  Copyright© yoojussy. All rights reserved.  CONTENTS 들어가며- 경영학과 출신이 주는 시그널은 사실상 없다 I. 경영학과에 가면 뭘 배우는가? 1. 경영학...
bit.ly  안녕하세요 대진대학교 산업경영공학과 서포터즈입니다!
산업공학과와 경영학과는 일단 공과대학과 인문대학에서 이미 차이가 난다고 볼 수 있습니다.
일단 커리큘럼에서의 산업공학과는 공장에서의 관리자를 뜻합니다.
제품에 대한 소요계획, 검사 체계 등 공장에서 필요한 모든 체계를 배우는 것이라 보시면됩니다.
통계학 뿐만 아니라, 컴퓨터 공학, 경영학 등 다양한 학문을 배우는 학과입니다. 
반면에 경영학과는 CEO를 위한, 또는 CEO를 돕기 위한 기본적인 지식등을 배우게 됩니다.
인사, 회계, 재무, 경영, 마케팅 경영 및 회사운영의 틀안에서의 과목은 대부분 배우는 편입니다.
컴퓨터 프로그램 지식을 배운다면 대단히 기초적인 부분을 배우게 됩니다. 
정리하자면 경영학과는 기업의 경영을 잘 하기 위해 도와줄 전문인재를 양성하기 위한 학과 입니다.
 조금이나마 질문자님에게 도움이 되었으면 좋겠습니다!"
