,platform_num,date,content
0,3,2019-09-11,"산공과에 재학중인 4학년입니다.  1. 프로그래밍 산공과에서 사용하는 프로그래밍언어에 대해 조금 더 보충 설명하면, - 엑셀같은 경우는 생산관리분야뿐만 아니라 OR같은 수업에서도 많이 과제로 사용합니다. 그래서 엑셀은 거의 기본적으로 할 줄 알아야하는데 미리 배우지 않고 찾아서 하는거로도 충분한 것 같습니다.- 파이썬같은 경우에는 요즘 4차산업혁명 붐이 일어나면서 같이 붐이 일어난 언어로 AI (머신러닝, 딥러닝, 데이터분석)에 사용하기에 가장 적합한 언어라고 생각합니다. 실제로도 사람들도 많이 쓰고 관련 자료도 파이썬으로 많이 되어있어서 꼭 해야하는 언어라고 생각합니다. 스트롱님이 설명하신대로 파이썬은 연산속도가 느려서 회사에 가면 직접 C++같은 언어로 코드를 대체하기도 하는데, 학부생 수준에서 C++과 파이썬 둘 다 준비하기에는 조금 벅찬면도 있다고 생각합니다. - R같은 경우에는 통계에 초점을 맞춘 언어로 파이썬과 같이 무료 소프트웨어입니다. SAS같은 경우에는 비용이 너무 비싸서 대부분 학부생때 R을 많이 사용하고 요즘은 회사에서도 SAS 대신 R을 사용하려고 한다 들었습니다. - Java와 C같은 경우도 산공과 학생이라면 프로그래밍언어를 배우면서 접할 수 있습니다. 학교마다 다르겠지만 둘 중 하나는 보통적으로 배우는 것 같습니다.  참고) 데이터쪽을 진로로 삼지 않을거면 코딩을 못해도 상관없었는데, 요즘 AI붐이 일면서 그 경계가 많이 옅어지고 있는 것 같습니다. 그래서 생산쪽으로 가는 친구들도 어느정도 코딩은 기본적으로 하는 것 같습니다 ㅜㅜ  2. 취업 위에 분이 말씀하신대로 산공은 자기 하기 나름이고, 내가 잘한다면 어디든지 갈 수 있습니다. SDS나 LG CNS, 카카오, 네이버, 금융공학을 배워서 증권사에 갈 수 도 있습니다. 하지만 이게 학과 수업에서 가르침을 받아서 하기보다는 모두 각자 공부를 해서 간다는게 중요 한 것 같습니다. 저희 학교같은 경우는 금융공학이라는 분야가 있다가 사라져서 금융쪽에 관심있는 친구는 금융공학과 학회를 들어간다든지, 스스로 알고리즘 트레이딩을 공부해서 스펙을 쌓습니다. 코딩 같은 경우에도 기본적으로 알고리즘 테스트를 통과해야하는데 학과에서 알고리즘에 대해 배우지 않습니다. 모두 스스로 공부해서 붙는거기 때문에 중요한건 스스로 공부하지 않으면 어디든 갈 수 없습니다.그리고 생산관리 및 품질관리를 사람들이 많이 가는 이유중에 하나가 학사의 신분으로 산업공학과에서 가장 취업하기 쉬운 분야이기 때문입니다. 데이터분석같은 경우에는 일반적으로 기업에서 학사생을 잘 뽑지 않습니다. 대표적으로 KT같은 경우에는 올 하반기에는 데이터 분석쪽으로는 석사생 이상만을 뽑고 다른 기업들도 대체적으로 비슷한 상황입니다. 인간공학이나 최적화쪽은 말할 것도 없이 대학원을 가야합니다. 그래서 학과 커리큘럼만 따라가면 생산관리쪽 말고는 취업할때가 거의 없어서 대학원 가는 경우도 많이 봤습니다 ㅠㅠ...  3. 공정 위에 분이 공정에 대해 말씀하셔서 추가하자면 저는 조금 생각이 다른 것 같습니다. 물론 전화기쪽으로 복전해서 기계의 작동원리를 이해해서 불량에 대해 공정을 한다면 취업깡패가 되겠지만, 사실 학부생에게 이 정도 수준을 바라는 것은 힘든면이 있다고 생각합니다. 저희학교(서성한)는 공정에 대해서도 배우있고 이 분야는 옛날부터 산업공학과가 정통적으로 강했던 분야입니다. 그렇기에 사람들도 가장 많이 가구요. 여기서 쓰이는 스케쥴 관리라든지 자원을 관리하는 부분은 산공과가 하기때문에 계속해서 수요가 있다고 생각합니다. ( 참고로 이 부분에 대해 교수님께서 최근에 하신 말씀으로는 과거부터 산공과가 우세했던 분야지만 요즘에는 공정내에서 작업을 하는 작업자들이 이 분야를 배워서 관리쪽까지 커버하는 추세라고 합니다.)  4. 총평 산업공학과라는 학과가 사실 많은 분들에게 낯선것은 사실인것 같습니다. 그런데 공대에서 비즈니스적 마인드를 배울 수 있고 내가 원하기만 한다면 타학과의 전공과 콜라보레이션을 하기에 가장 적합한 학문이라고 생각합니다. 스스로 찾아서 공부할 의지가 있으면 정말 좋은 학과니 겁먹지 않고 오셨으면 좋겠습니다.참고) 수학은 1학년때부터 4학년때까지 쓰니 참고하시기 바랍니다."
1,3,2019-09-11,여러분 이 분이 한양대 산업공학과 인터뷰해주신 수재분이십니다ㅎㅎ 댓글은 며칠 후에 상단고정하겠습니다.
2,3,2019-09-11, @공대선배 스트롱  저도 학부생이고 회사를 다녀본 입장이 아니어서 잘못된 정보가 있을 수 있고 수업같은 경우는 학교마다 커리큘럼이 다른부분이 많아서 저희학교를 기준으로 인터뷰를 했으니 다들 참고하시기 바랍니당 ㅜㅜ
3,3,2019-09-11,현우~~ 멋져
4,3,2019-09-11,"전 미국 주립대에서 Industrial Engineering 전공 했고 지금은 물류 공급사슬 관련 포지션으로 미국에서 일하고 있어요. 영상에 나온대로 한국이랑 비슷하게 거의 다 배우는데 차이점은 코딩의 비중에 적다는걸까요 파이썬이랑 자바 엑셀 VBA배우긴 하는대 그냥 기초만 하는듯 그리고 SCM(Supply Chain Management)나 Logistics는 언급안하셨는데 이것도 비중있게 배워요.그리고 미국에는 OR이랑 Management Science 자체만 하는 과가 있어요 ""Business Analytics""라는 과인데 한국에선 뭐라 부르는지;? 경영이나 생산관리 다빼고 주로 데이터쪽과 OR(Optimization), 그리고 통계위주로만 배워요. 보통 미국 비지니스스쿨  상경대에서 IS( information system) 이랑 취직, 취직후 연봉 투탑 찍는 학과입니다(적어도 저의 학교에선) 왠만에서 10만불 받고 들어가요. 비지니스 교수들한테 앞으로 유망한 과 추천 해달라하면 대부분 BANA랑 IS 추천 해주더라구요"
5,3,2019-09-11,곧 산공과 면접을 보러가는데요! 혹시 마케팅쪽으로 가시는분은 없나요? 마케팅 생각하고 있어서... 진로를 마케팅쪽이라 하면 교수님들이 싫어하실지...
6,3,2019-09-11,"산업공학과에서 공연 기획쪽이나 마케팅쪽으로 가기 수월한가요? 입시준비중인데 꿈을 공연기획자로하고 원하는 학과는 산업공학과로 생기부를 작업하고 있어서요,, 도와주세요.."
7,3,2019-09-11, @허수아비  그럼 기획쪽은 가기 수월한가요? 어떤식으로 생기부 채우면 좋을까요?
8,3,2019-09-11, @고범진  애초에 공연기획자라는 꿈과 산업공학은 맞지 않는데요... 꿈과 전공 중 하나는 바꾸셔야겠습니다;
9,3,2019-09-11,김현우 편입으로 산공에 들어가게 되면 어느 부분을 준비해야할까요?
10,3,2019-09-11,문과도 산공 복수전공하면 할만할까요?그리고 품질관리 직무에서도 코딩능력이 필요한가요..??
11,3,2019-09-11,와 산공 4학년인데 산업공학이란 과를 이렇게 핵심만 잘 짚어주는 설명 처음 보네요..
12,3,2019-09-11,안녕하세요 스트롱님 화학공학과에 대해서 영상 만들어주실 수 있나요?비동일계편입준비중이라 과에 대해 고민이 정말 많은 상황인데 스트롱님께서 정리를 너무 잘해주셔서 너무 도움됩니다!ㅠㅠ
13,3,2019-09-11,화공은 조금 늦을것 같습니다.. 한 세네달 정도?ㅠ
14,3,2019-09-11, @공대선배 스트롱  헉 그렇군요ㅠㅠㅠㅠ그쯤되면 이미 시험이 끝나있겠어요ㅋㅋㅋ쿠ㅜ그래도 앞으로 올라올 영상들 잘 챙겨보고 소신껏  지원할게요 항상 감사합니다!!
15,3,2019-09-11,산업공학과 준비하는학생인데 유익한 정보 많이 얻고갑니다~~ 여태까지 본 학과설명 영상중에 최고에요
16,3,2019-09-11,심리학과 함께 산업공학복수전공하고 있는 학생입니다! 좋은정보 감사합니다!
