,sentence,sentiment,Unnamed: 0
4710,구조역학 열역학노승탁 저 공업열역학 제판 장장노승탁 저 공업열역학 제판 장장 공기역학 항공 우주 제어 공학수학 박사과정과 석박사 통합과정은 전공필기고사 없이 일반면접만 실시하고 자세한 일정은 추후 공지될 예정입니다,Positive,4741.0
2152,현재 바이오나노공학의 지식 습득을 위해 생화학 유기화학 분석화학 물리화학 생명나노공학 입문 생명공학개론 분자세포생물학 고분자 공학 재료공학개론 생명 열역학을 포함한 전공기초 교과목과 나노의학 나노재료 센서공학 의학 소자 공학 분자 생물반응공학 나노 바이오소재 생체 모방공학 등 실용적 인재 배출을 위한 교과목이 개설되어 있습니다,Positive,2167.0
3655,가장 대표적인 회사는 세계 위를 얼마 전에 달성한 화학회사인 화학이다 화학 외에도 롯데케미칼 여천 한화 토털 금호석유화학과 같은 석유화학회사들이 존재하고 그 외에도 수많은 소재 화학 회사들이 우리나라에는 많이 있다 취업 환경에 대해서는 다음 차례가 존재하니 천천히 살펴보도록 하고 여기서 하고 싶은 말은 이러한 정유 석유화학 회사들이 사실상 화학공학과의 설립의 근본이라는 사실이다 실제로 입학을 하게 되면 원유를 다양하게 정제하는 방법론과 이를 위한 다양한 화학적 이론 열역학과 유체역학부터 물질 고분자 유기 물리화학 및 소재 이론까지 이르는 전공 과목을 듣게 된다 화학공학과 취업률 그렇다면 많은 학생들이 궁금해할 만한 화학공학과의 대학별 취업률 순위는 어떻게 될까 대학 알림이에 따르면 년 기준 화학공학 관련 학과들의 취업률은 위와 같다 하지만 위의 표는 취업의 질을 보장해주는 데이터는 아니기 때문에 실제로 취업의 질이 어떤지는 학교마다 상황이 상이할 것으로 보인다,Positive,3682.0
4955,무엇을 배우나요 학년과 비전설계 미분적분학 소프트웨어의 이해 일반물리학 일반물리학 실험 일반화학 일반화학실험 초급 중국어 공학 입문 설계 아카데믹 글쓰기 인공지능과 미래사회 학년과 쥐 창업을 위한 진로탐색 공업 물리화학 공업수학 기초생물학 수치계산 공업 유기화학 재료과학 화공 양론 기초 열역학 기초 물성론 학술영어 통합 학술영어 글쓰기 전자재료 물성 학년과 역량 계발 재료 화공 열역학 반응공학 분광 기기분석실험 열 및 물질 전달 유기합성 실험 유체역학론 재료가 도학 전자소재 실험 고분자화학 반도체 공정 무기재료화학 반도체소자 분자분광학 재료 화공 캡스톤디자인 전자 세라믹 전지 화학 글로벌 공학 리더십 미세조직 실험 재료화학공학과 연구실 심화실습 고은 반응속도론 고체 결정구조 학년 공정설계 나노 공정 실험 분리공정 철강공정 고급 박막 공정 분말 공정공학 재료 화공 세미나 재료 화공 캡스톤디자인 최신 공정제어 원자 수준 박막 개론 나노소재공학 박막 표면분석 상변화와 미세조직 재료화학공학과 연구실 심화실습 전기화학론 장학금 제도가 궁금해요,Positive,4988.0
6915,많은 학생들이 기계공학과 기계설계 공학의 차이점을 명확하게 구분하지 못하는데 기계설계 공학은 기계 설계와 관련된 주요 이론과 실습을 하고 기계공학은 기계설계 제작 금속재료에 대한 이해부터 열역학까지 기계공학 전반에 대한 내용을 다루고 있다는 점에서 차이점을 가지고 있어요,Positive,6962.0
8216,기계정보공학과에서 배우는 것은 학년 창의공학기초설계 컴퓨터 기초 및 프로그래밍 디지털 논리설계 및 실습 학년 공학수학 열역학 고체 역학 전산수학 메커니즘 설계 동역학 유체역학 프로그래밍 방법론 및 실습 기계공작 법 컴퓨터 이용 제도 학년 공학 열전달 이계진 동학 수치해석 및 실습 실험계획법 응용역학 실험 자료구조 및 알고리즘 컴퓨터 시스템 구조론 기계요소 설계 소프트웨어공학 및 설계 열유체공학실험 인공지능 기초 자동제어공학 학년 내장형 시스템 및 실습 로보틱스 전산 유체공학 제어 및 가공 실험 컴퓨터 원용 최적 설계 마이크로나노시스템 에너지환경 설비 유한 요소해석 창의공학설계 프로젝트 컴퓨터네트워크,Positive,8267.0
13018,무엇을 배우나요 학년 기계공학개론 과 비전설계 미분적분학 소프트웨어의 이해 일반물리학 일반물리학 실험 일반화학 초급 중국어 정역학 공업수학 아카데믹 글쓰기 인공지능과 미래사회 학년 공업수학 고체 역학 기계공학 입문 설계 기계지로 설계 열역학 과취 창업을 위한 진로탐색 공업수학 기계 계측공학 유체역학 고체 역학 응용 설계 동역학 열역학 응용 설계 학술영어 통합 학술영어 글쓰기 학년 계측시스템설계 및 응용 기계공작실습 컴퓨터 지원설계 공학설계 및 응용 기계설계 기계제작 공정 수치계산 유체역학 응용 설계 과 역량 계발 기계가공과 공정설계 기계가공실습 기계 캡스톤디자인 이계진 동학 열전달 기계공학 연구실 심화실습 학년 기계역학 기계 캡스톤디자인 열 시스템설계 유체기계설계 응용 유한 요소해석 자동제어 기계 융합 제조공정설계 기계 캡스톤디자인 동력 기계설계 설계 방법론 수송기계설계 융합기계설계 응용기계 시스템설계 탄성 한 설계 기계공학 연구실 심화실습 기계공학특론장학금제도가 궁금해요,Positive,13104.0
13164,전통 제조 산업과 미래 신산업 및 서비스 분야의 생산제조 기본이 되는 기계제도 동력 전달 요소 설계 기계공작 법 재료역학 열역학 유체역학 등의 전공 기초이론 교육을 비롯하여 컴퓨터응용설계 컴퓨터 응용가공 전산응용 해석 제어 자동화 장비 설계 등의 응용기술에 대한,Positive,13252.0
281,상황을 크게 보고 각 분야에서 수집된 정보를 토대로 편리하게 관리하고 계획하는 관리인 역할을 수행하는 건데 아직 미개척지인 넓고 큰 우주를 생각한다면 우주까지 관리하는 광활한 우주의 관리인이 될 수도 있다는 거죠,Positive,281.0
980,일과 학습을 병행할 수 있어 재직자에게 추천할 수 있는 교육과정이며 년제 학사학위를 취득할 수 있기에 석사 박사로 진할 할 수 있는 토대가 될 수 있습니다,Positive,984.0
