,platform_num,date,content
0,7,2020-12-02,25살 산업공학과 스펙 평가 부탁드립니다..!
1,7,2021-08-19,산업공학과에서 전공 이점 살릴수 있는 IT직무가 있을까요??
2,7,2020-07-07,문과대인데 산업공학과 복수전공
3,7,2021-12-23,산업공학과는 취업잘되요?
4,7,2021-01-18,산업공학과는 어디로 가야할까요
5,7,2020-06-03,산업공학과
6,7,2020-03-25,인서울 중하위권 산업공학과 진로 고민입니다..
7,7,2021-01-06,24남 산업공학과 스마트팩토리로 가고 싶어요!
8,7,2019-05-15,지방 산업공학과
9,7,2019-08-19,산업공학과 물류
10,7,2020-12-02,"📍다른 회원의 게시글에 무분별한 비난 댓글 작성시  예고없이 무기한 활동정지 또는 강퇴될 수 있습니다.  　  💌취업전문가와 함께하는 2022 독취사 고민상담소  사연 접수하기▶ https://bit.ly/3FRpKHP... 더보기








👔 현재 나의 스펙은?​- 학교/전공/학점 : 지방국립대(분캠입니다..) / 산업공학과- 어학점수 : TOEIC 820 / TOEIC SPEAKING 130(LV6)- 자격증 :​품질경영기사​사무자동화산업기사​ERP정보관리사 생산 2급​ERP정보관리사 물류 2급​6시그마(GB)​한국사 2급​정보처리기사 ( 필기 합 )​산업안전산업기사 ( 필기 합 )​​스마트팩토리 소프트웨어 국비지원교육 수강중- 경력사항(알바,인턴 등) : 단기 공장 아르바이트- 대외활동/공모전 : X- 수상경력 : X- 기타사항 :​ISO 22000​통계 관련 실험실​스마트팩토리 소프트웨어 국비지원교육 수강중​- 추가 계획 : 한국사 1급 취득 및 NCS 공부​​👔 입사 희망 회사/부서/직무 (하나만 선택해도 OK)한국조폐공사/생산/생산관리​👔 취업카페 회원수 1위, 독취사 회원님들에게 받고 싶은 조언은?예시) 1. 무엇을 더 준비해야 할까요? 2. 어디로 취업해야 할 지 모르겠어요.​지금은 공기업을 목표로 하지만 제약/바이오 생관/품관도 생각하고 있기에 무엇을 더 취득해야 될지 모르겠습니다..!!​📣 독취사에 남긴 게시글에 관한 저작권 등의 모든 권리는 작성자와 독취사에 있으며,독취사는 게시글을 활용하여 자료 제작 등에 활용할 수 있습니다. ​또한 본 게시글의 무단 도용 및 복제를 엄격히 금지하고 있으며,이를 위반하는 경우 저작권법 등 관련 법률에 따라 법적 제재를 받을 수 있습니다."
