,sentence,sentiment
599,또한 빅데이터에서 발견한 인사이트로 세상을 혁신할 수 있는 새로운 시대가 왔다는 사실을 직접 경험하고 목격한 현장 사례로서 생생하게 보여준다 저자는 국내의 한 영화 배급사와 함께 개봉 전 데이터 분석을 통해 미리 관객 수를 예측한 사례를 소개하기도 한다 그전까지는 관객 수 예측이 경험을 토대로 이뤄졌지만 정확하지 않을뿐더러 예측이 틀려도 그 원인을 알 수 없는 등의 문제가 있었다,Negative
1809,따라서 원서접수 전까지 지난 연간 대학생활을 하고 여러 년 입시를 치른 경험을 토대로 간단한 가이드를 작성하게 되었습니다,Negative
1848,서울대학교 학년도 서울대학교 정시는 가군 수능 위주 전형 일반전형과 학생부 종합 전형 기회균형선발 특별전형 두 가지로 나뉘는데요 아래 모집단위별 수능 응시 영역 기준을 토대로 각 전형에 대해 간단히 정리해보도록 하겠습니다,Negative
1854,의과 대학 제외 위 누적 백분위를 토대로 이번 수능 국어의 원점수로 합격 가능성을 살펴보자면 국어에서 점 이상 받은 학생이 합격 가능성이 높겠습니다,Negative
2416,취득할 수 있는 자격증으로는 화공기 사 화공 기술사 공업화학 기사 공업화학기술사 고분자 제품 기술사 고분자 제품 제조 산업기사 생물공학 기사 화학공정설계기술사 화공 안전기술사 그리고 교직이수를 통한 중등학교 정교사 급화공 등이 있습니다,Negative
4744,생활 과학 대학에 속한 의류학과 식품영양학과 실내건축디자인과 간호학과 역시 정시로 뽑지 않고 오로지 논술전형만으로 선발합니다,Negative
308,출처 한국 공학교육인증원 홈페이지 공학교육인증 과정 시행 학과의 졸업이 수기 준 학점 대학 전공학과 부정문 교양 전공 설계 졸업학점 전자정보대학 컴퓨터공학과 또한 컴퓨터공학과에서는 보안 컨설팅이라는 연계전공을 들을 수 있는 기회가 있습니다,Negative
332,보안 서버 구축 앱 개발 데이터베이스 관리 교육계 종사 등 여러 분야로 취업할 수 있습니다,Negative
627,정보보호 보안 분야도 있고 군이랑 연관된 사이버국방학과 그런 분야도 있는데 군이랑 연관돼있는 거는 취업이 잘 되지만 그냥 정보보호나 보안은 어떻게 되는지 궁금하네요,Negative
1048,산업보안학과 산업공학과는 크게 다른가요,Negative
