,sentence,sentiment,Unnamed: 0
2155,무엇을 배우나요 학년과 비전설계 아카데믹 글쓰기 일반화학 일반생물학 일반물리학 미분적분학 일반물리학 실험 일반화학실험 인공지능과 미래사회 소프트웨어의 이해 초급 중국어 학년 생명나노공학 입문 생명 물리화학 생명 유기화학 생화학 생명 공업수학 생명 분석화학 미생물의 기초 바이러스 공학 생명공학 실험 학술영어 통합 학술영어 글쓰기 과취 창업을 위한 진로탐색 학년 재료공학개론 고분자공학 공학 생리학 분자세포생물학 생명공학개론 유기전자소재 분자 생물반응공학 합성 생물공학 센서공학 생명 열역학 나노 바이오소재 생명나노공학과 연구실 심화실습 나노공학 실험 생명나노 캡스톤디자인 과 역량 계발 학년 나노재료 나노의학 기술 작문 및 발표 의약 소자 공학 바이오계면공학 생체 모방공학 기기분석 통계분석 및 실험 설계 생명나노공학과 연구실 심화실습 생명나노 캡스톤디자인 장학금 제도가 궁금해요,Negative,2170.0
4709,구조역학 열역학 공기역학 공학수학 항공 우주 제어 문제를 모두 확인한 후 과목을 선택하여 문제지 수령 문제를 수령한 후 분간 문제 해결을 위한 시간이 주어지고 분간 면접 및 구술고사 시행 석사과정의 면접 및 구술고사 시험 범위는 다음과 같습니다,Negative,4740.0
1783,난장은 사물놀이에 사용되는 악기를 배우고 그것을 토대로 공연을 하는 소모임입니다,Negative,1798.0
10869,제가 산업공학과 출신은 아니지만 주변 지인들을 주변 지인들을 통해 알아본 바를 토대로 답변을 드리겠습니다,Negative,10939.0
11786,에듀 진 인터넷 교육신문월 학력평가 결과를 토대로 자신에게 유리한 과목을 선택하기 위해 알아야 할 사항을 살펴봤다 이번 공통과목 선택과목 체제에서는 최종 표준 점수 산출까지 공통과목의 평균과 표준편차 선택과목의 평균 참고하시기 바라며 관련 학과로 선문대 산업경영공학과 소개해드릴게요 선문대 산업경영공학과에서는차산업혁명 시대에 필요한 공학적 지식과 경영학적 마인드를 갖춘 융합형 인재 양성을 목표로 합니다,Negative,11865.0
12368,소프트웨어 분야에 대한 적성을 확인하고 싶다면 학교에서 배운 프로그래밍 언어를 토대로 수준이 높은 소프트웨어를 개발해보는 것이 좋을 것이고 다른 분야에 대한 적성을 확인하고 싶다면 그와 관련된 프로젝트를 해보는 것이 좋겠죠,Negative,12451.0
12835,카이스트 대학원 산업공학과는 면접 대상자를 두 부류로 분류하는데요 구술면접만 진행하는 구술 면접 대상자와 필기시험을 먼저 본 후 그것을 토대로 면접을 진행하는 심층 면접 대상자입니다,Negative,12919.0
11072,산업공학과가 일반인 인식 정말 개쓰레기 하위 티어 학과 야,Negative,11143.0
1736,생물산업바이오 농업 기계공학과 농기계와 생물산업기계과 카레 보면 코딩 전자 약간 기계 대다수 카레인데 그냥 기계 잡과라 봐도 무방함 생산 기면 기계기사 따고 기계직 공기업 공무원 준비하던가 아니면 기계과가 사기업에 취업하는 곳 취업할 순 있는데 기계과보단 밀림 암튼 생물산업기계공학과는 산업공학과 생물공학과 기계공학과도 아닌 그냥 농기계와 임,Negative,1749.0
7047,오늘 비교할 학과는 오늘 비교해볼 학과는 자원생물학과와 생물공학과입니다,Negative,7094.0
7055,두 학과의 차이점은 무엇이 있을까요 두 학과의 차이점을 먼저 간단명료하게 정리해보자면 자원생물학과는 바다 해양생물 그리고 생물공학과는 생물공학에 대해배울 수 있는 학과입니다,Negative,7102.0
7076,생물을 다루고 있다는 점에서는 유사하지만 자원생물학과는 바다와 해양자원에 생물공학과는 해양자원과 관련된 생물공학을 집중적으로 연구하고 배울 수 있다는 점에서 확연히 다른 학과라는 것을 알아가셨나요,Negative,7123.0
55,공학 영양 직무를 어떻게 설정해야 할지 모르겠습니다,Negative,55.0
239,가축에서 줄기세포를 추출한 후 실험실에서 약 주간 영양액과 전기 자극을 줘 근육세포로 키운 후 육류 특유의 색깔로 염색하면 대 양육이 완성됩니다 배양 과정에서 소의 지방세 포로 마블링까지 구현할 수 있다고 합니다,Negative,239.0
2214,모집단위 학과 논술 작년 의류학과 자연식품영양학과 실내건축디자인 학과 자연 본래 학년도에서 식품영양학과는 명에서 명으로 절반 가까이 줄었습니다,Negative,2230.0
2221,시험시간 오전 공과대학 건축학부 건축공학부 건설환경공학과 도시공학과 자원환경공학과 유기나 노공 학과 원자력공학과 산업공학과 자연과학대학 물리학과 화학과 생명과학과 생활 과학대학 의류학과 자연식품영양학과 실내건축디자인 학과 자연 간호학부 간호학과 오전 시 분부터 오전 시 분까지 총 분이 주어집니다,Negative,2237.0
2681,임상영양학과에 이어 오늘 소개해 드릴 학과는 바로바로 화장품 공학과입니다,Negative,2701.0
8737,학과명 지원 수정원 문과대학 국어국문학과 중어중문학과 영어영문학과 독어 독문학과 불어불문학과 노어노문학과 사학과 철학과 문헌정보학과 심리학과 상경대학 경제학부 응용통계학과 경영 대학 경영학과 이과대학 수학과 물리학과 화학과 지구시스템과학과 천문우주학과 대기과학과 공과대학 화공생명공학부 전기 전자공학부 건축공학과 도시공학과 사회환경 시스템공학부 기계공학부 신소재공학부 산업공학과 컴퓨터과학과 글로벌융합공학부 생명시스템대학 시스템생물학과 생화학과 생명공학과 신과 대학 신학과 사회과학대학 정치외교학과 행정학과 사회복지학과 사회학과 문화인류학과 언론홍보영상 학부 생활 과학대학 의류환경학과 인문 의류환경학과 자연식품영양학과 인문 식품영양학과 자연 실내건축학과 인문 실내건축학과 자연 아동 가족학과 인문 생활디자인학과 인문 교육과학대학교육학부 간호대학 간호학과 인문 간호학과 자연 의과대학 의예과 치과대학 치의예과,Negative,8792.0
10915,기금 학생 경희대 유전 생명공학과 일반 축합 건국대 줄기세포재생공학과 일반 최초 합 동국대 식품 영양 공학과 일반 최초합국민대 응용화 학부 나노소재 일반 최초합단국대 고분자공학과 일반 축합 아주대 응용화학생명공학과 일반 최초합서울과기대 기계 시스템디자인공학과 일반 최초 합 명지대 산업경영공학과 일반 최초합 편입 동기 목적제가 편입을 선택한 이유는 대학에 가기 위해서입니다,Negative,10985.0
297,오늘은 단국대 컴퓨터공학과 그리고 단국대 산업보안학과 에 대해 소개해드릴게요 단국대학교는 중심대학으로 중심의 교과 교육체계를 통해 전문 융합인력 양성을 위해 힘쓰고 있답니다 차례대로 단국대 컴퓨터공학과 산업보안학과 진학 준비 방법과 예비생들의 전공대비 방법을 알려드릴 테니 전공대비가 궁금하신 분들은 스크롤을 조금만 더 내려주세요,Negative,297.0
311,단국대 전공대비 상담 링크 단국대 산업보안학과 로드맵 단국대 산업보안학과의 경우 사이버 보안과 보안 관리 트랙이 있습니다,Negative,311.0
312,만코딩 프로그래밍 실습 네트워크서버 데이터베이스 알고리즘 수업 없이 바로 네트워크 보안 서버보안 등을 배우게 되는 것을 확인할 수 있습니다,Negative,312.0
313,그렇기에 단국대 산업보안학과 예비생들은 필수적으로 네트워크 기초 서버 데이터베이스 그리고 해킹 트레이스 악성코드 분석 포렌식을 배우시는 것을 권장 드립니다,Negative,313.0
1117,오늘은 국가 핵심기술 보호 관련 산업보안 아주대 석사과정 신입생 모집 정보를 가지고 왔습니다,Negative,1122.0
1118,국가 핵심기술 보호를 위해서는 각 산업별 특화된 보안 전문 인력 양성이 먼저인데요,Negative,1123.0
1123,아주대 산업 보안산업 보안 전문 인력 산업 보안 전문 인력 양성사업 아주대 지식 정보공학과 아주대 대학원 아주대 정보통신대학 산업 보안 아주대 아주대 신입생 모집 아주대 대학원 신입생 모집군 비장 학생 모집 최종 사업 목표 및 컨소시엄 구성 아주대 지식 정보공학과는 한국 산업 기술 보호 협회에서 주관하는 산업보안 전문 인력 양성사업 산업부 지원을 운영하는 석박사 과정 지원 학과입니다,Negative,1128.0
1559,와 정보통신 네트워크 기반의 다양한 융합 서비스가 출현하면서 정보 보안의 중요성이 커지고 있습니다,Negative,1568.0
1676,보안 전문가가 되기 위해 어떤 수업을 들은 건지 프로그래밍 따로 해본 적 있는지 빅데이터가 무엇이고 사용되는 곳 스마트폰에 있었으면 하는 기능 정밀화학과 수시 면접 질문지 주기율표에 대해 설명 화학 하면 생각나는 것 가지 원자번호로 알 수 있는 것 이상 기체 상태 방정식은 계면활성제의 구조에 대해 설명 건축학 전공 수시 면접 질문지 동아리 활동 중 가장 인상 깊었던 내용은 건축공학과 건축학의 차이점 가장 기억에 남는 건축물은 서울과기대는 학교생활기록부와 자기소개서를 바탕으로 한 서류 기반 면접으로 본인의 생기부와 자소서를 숙지하고 전공과 관련된 시사적인 이슈도 꼭 알아두시기 바랍니다,Negative,1687.0
2465,정보 보안 기존 서버에서 발생되었던 해킹과 관련된 보안 이슈가 가상 서버인 클라우드에도 동일하게 발생되고 있으며 코로나로 비대면 서비스의 확대로 보안에 대한 이슈가 꾸준히 늘어나고 있습니다,Negative,2485.0
3275,컴퓨터공학과를 졸업하면 어떤 분야로 진출을 하게 되는지 알아볼게요 이제 보통은 보안이나 프고 그램 개발자 소프트웨어 개발자 등등으로 많이 취업을 나가고 있어요,Negative,3300.0
3691,해킹 분야와 보안 분야가 바로 그것인데요,Negative,3718.0
