,sentence,sentiment
2315,우선 내가 졸업한 한양대학교 신소재공학부를 기준으로 이 과에서 뭘 배우는지 커리큘럼을 간략하게 살펴보면 출처 한양대학교 신소재공학부 홈페이지 학년 때는 여느 공대와 동일하게 일반물리 일반화학 미적분학에 대해서 간략하게 배운다 학년이 되어도 여전히 재료과학 재료 열역학 고체물리학 등 재료공학의 기반이 되는 과목을 배운다 이 시기에 신소재공학과에서는 물리 지식이 정말 많이 필요하다는 것을 알게 된다,Positive
3618,먼저 화공 분야 전문가를 지향한다면 일반화학 및 실험과 소재물리학 공학수학은 물론 유기화학 단위조작 및 실습 생물공학 물리화학 분석화학과 같은 수업을 들을 수 있는 것은 물론 생화학 색채 화학공학 및 응용 융복합 재료 화공 수학 소재공학개론 화공 양론에 이르기까지 다양한 수업을 들어볼 수 있어 반면 대학원 진학 지향하는 경우에는 유기화학 및 실습이나 물리화학 및 연습 분석화학 및 실험 수업을 들을 수 있고 화공 수학이나 화공 양론 열역학 및 실습과 단위조작 및 실습 반응공학 기기분석 수업을 함께 들을 수 있어 게다가 생물공학 배양 공학 및 실험 효소공학 고분자 합성 및 실험 유기 신소재 캡스톤디자인 역시 수업을 통해서 접할 수 있어 그 외에도 자격증을 취득하는 학생들을 위해 화공기 사 혹은 생물공학 기사 자격증에 관련된 커리큘럼도 갖추고 있는 만큼 살펴봐도 좋겠지,Positive
52,저도 같은 과정으로 해냈기에 경험을 토대로 도움드릴 수 있을 것 같네요,Positive
1357,산업공학은 많은 자료들을 관리하는데 데이터베이스와 유사하답니다 산업 공학도들은 상황을 크게 보고 각 분야에서 수집이 된 정보를 토대로 편리하게 관리하고 계획하는 관리인의 역할을 수행합니다,Positive
1360,선문대 산업경영공학과는 공학적인 지식을 토대로 과학적 경영을 선도하는 기술경영 인재를 양성함으로써 제조 분야의 품질 생산물류 및 산업안전 분야의 전문 인력을 키워내고 있습니다,Positive
1932,더 나아가 공장의 생산성 데이터 수집 같은 공학적 분야에도 큰 기여를 하고 있죠 뿐만 아니라 사람의 습관에 따른 인간공학적 설계까지도 가능하고 통계자료 데이터를 토대로 계획을 만들어주는 산업공학 어디 하나 빠질 곳 없는 학문이죠,Positive
1935,산업 고학은 많은 자료들을 관리하는 데이터베이스와도 유사하답니다 산업 공학도들은 상황을 크게 보고 각 분야에서 수집이 된 정보를 토대로 편리하게 관리하고 계획하는 관리인 역할을 한답니다,Positive
2353,또 학부 과정과 직접적으로 연계되지는 않지만 금융공학을 토대로 금융권에서 일하게 되면 다른 상경계열 학생들보다 정량적인 데이터 분석 능력을 갖추고 있다는 차별점을 둘 수 있습니다,Positive
4461,이런 특성 때문에 상대적으로 전공자들의 취업 범위가 굉장히 넓은 편이기도 하고 특히 산업공학과 교육과정에서 중심적으로 다루는 것이 바로 수학과 통계학인데 이유는 정량적 수치적인 분석을 토대로 이루어지는 연구가 많아서 그렇습니다,Positive
4470,거기다 세상을 넓게 보는 것이 가능해졌는데 산업공학은 많은 자료들을 관리하는 데이터베이스와 유사하답니다 산업 공학도들은 상황을 크게 보고 각 분야에서 수집된 정보를 토대로 편리하게 관리하고 계획하는 관리인 역할을 수행하죠,Positive
