,platform_num,date,content
0,6,2020-09-15,네 물론 가능합니다. 그동안 컨설팅해왔던 산업공학 전공자들 물류로 지원해서 잘 다니고 있습니다. 지금 취준하고 있는 산업공학 친구들도 물류를 메인으로 지원방향을 잡아 좋은 결과를 얻고 있구요. 통합물류쪽은 오히려 타 전공보다 산업공학이 가장 잘 맞는 전공이라 보고 있습니다. 걱정하지 말고 지원하세요.
1,6,2019-02-27,안녕하세요 13학번 목재응용과학과와 산업정보시스템공학과 전공하였고 올해 졸업했습니다.저희 학교 후배님이시고 저랑 지원분야가 비슷한 거 같으시네요.정확히 가고싶은 회사명이 어떻게 되는지 알면 더 도움되는 답변을 드릴 수 있을거 같습니다. 산업공학 전공하여 궁금한 거 있으시면 답변 남겨주세요~
2,6,2019-02-27,"저는 동문 농대졸업생입니다.펄프나 제지, 목재 분야 생산 기술 쪽 보고 있다면 전공자격증+품질경영기사나, 산업안전기사 등 국가기술자격증 취득이 우선시 되는 것 같아요.학과 자체적으로 농대, 공대 계열 취득할 수 있는 자격증이 많으니 국가공인, 기술로 알아보시면 좋을 것 같습니다."
3,6,2019-02-27,먼저 저는 동문 기설 졸업했고 현재 외국계 자동차부품회사 2년차입니다목재테크 : 유한킴벌리 펄프 업체 등등산공테크 : 생기 생관 (자동차 반도체 etc..)산공테크를 갔을때 본인의 전공이 다른 진짜 산공전공자들과 경쟁할수있는지 고려 필요합니다자격증은 기사 외에 필요없고영어성적 오픽 al 토스 레벨8만들고 실무경험이 나은듯(경진대회 공모전 상받는것도 괜춘)공대이면서 어학잘하면 하이브리드형 인재로 많이 좋아합니다
4,6,2020-06-28,안녕하세요. 산업공학과 출신 중에는 물류 유통으로 지원해서 취업하는 경우가 많습니다. 로직컬한 사고와 생산성 향상 등 강점들이 있기 때문입니다. 특히 물류쪽으로 준비를 하신다면 좋은 결과가 있으실겁니다. 아무래도 최근 유통물류의 일손이 모자르고 해당 업무에 대해서 채용이 많이 일어나고 있습니다. 준비하셔야 할 것은 물류의 경우 택배관련 아르바이트라도 하시는 것이 좋습니다. 이유는 직무에 대해서 충분한 이해도를 가지고 지원하시는 것이 좋기 때문입니다. 직무에 대해서 잘 모르는 상태에서 취업을 할 경우 못 버티고 나가는 직원들이 있기 때문에 해당 직무에 대해서 조금이라도 아는 사람이 지원해 주길 바라는 것이 있습니다. 너무 걱정하지 마시고 자신감 갖고 잘 준비하시기 바랍니다. 
5,6,2020-06-28,"안녕하세요. 이제까지 학교 생활을 하시며 어떤 과목들을 공부하셨고 그 중에서 어떤 과목을 잘하셨는지 정리해보세요. 이 과정에서 일관성있게 잘맞는 분야가 있다면 그 분야의 일을 하시는 편이 가장 좋고, 기업의 장기적인 미래만을 보신다면 공기업에 지원해 보시는 것도 방법입니다. 그러나, 결국은 본인과 맞는 업무가 가장 중요합니다.  "
6,6,2020-06-28,"솔직히 살다보니 공기업을 갈 수 있는 기회가 언제든지 있는 것이 아니라 할 수 있다면 공기업을 추천해드리고 싶네요. 해외 석사를 나와도 이번 코로나 사태같이 회사 자체가 어려우면 결국 공기업으로 눈이 돌아갈 수 밖에 없네요.혹은 석사 이후 박사까지 하여 전문 IT기업의 높은 직급으로 가서 고소득을 얻는 방법도 있지만, 이 경우에는 기본적으로 집안에서 학비 및 생활비를 어느정도까지 지원이 가능하다는 조건에서 말씀드립니다."
7,6,2020-09-14,"이름들으면 아실만한 기업에서 해외영업 업무 하고 있습니다. 저는 특수어라 그쪽 분야만 하고 있지만 기본적으로 해외영업의 경우 영어를 잘 하셔야 합니다.  신입의 경우 일단 서류에서 통과가 되어야 면접에서 영어회화에 대한 평가를 할 수 있기 때문에 최소한의 영어 점수는 만들어 놓으셔야 합니다.여튼 해외영업의 경우, 기업마다 다르기는 하겠지만 기본적으로 비영어권 국가의 사람과 영어로 프리토킹을 할 정도는 하실 줄 알아야 합니다. 물론 제 2외국어를 할 줄 안다는 전제 하에서요. 근데 그게 아니시라 영어만 가지고 일을 하실거면 영어권 국가의 사람과 업무에 관해 얘기할줄은 알아야 합니다. 하외영업이 해외에 나가서 일하고 그래서 멋있다고..하고 싶다고..하지만..사실 숫자(실적) 입니다. 국내영업과 다를바 없죠. 무역과 관세를 공부하셔서 해외영업이 끌린다고 하셨는데, 사실 무역과 관세는 포워딩 쪽에서 더 사용하실 가치가 있으실겁니딘. 해외영업에서 활용하는건 오히려 경영관리(?)..물론 무슨 물건을 어떻게 어떠한 방식으로 영업해서 파는냐에 따라 다르겠지만요.."
8,6,2020-09-14,저는 의류 밴더 무역사무 30년 경력입니다무역사무쪽은 무역쪽 업무를 하려면 어느정도 알고있는것이 좋습니다. 아직 경력이 없으시다면 내가 50. 60 대가 되어도 할수 있는일이 무엇일지 꼭 염두에 두시고 적성을 고려하여 시작하시다보면 경력이 쌓일것입니다.30년 밴더에 있다보니 알게된건 어느 쪽이든 영업력 영업관리쪽이어야 생명이 길고 내 것도 시작 할수 있겠다 입니다.내것을 하고 싶다면 관리. 회계쪽도 미리 공부하심 좋을것 같습니다직
9,6,2020-09-14,고생하셨어요. 정말 열심히 살으셨네요...무역사무직으로 토익하고 오픽만 높이시면취업은 되실 것 같습니다.저는 29살 동갑인데국제무역사만 3번 떨어졌고무역영어 자격증 하나 있어요...화이팅해요 우리
10,6,2020-09-14,포워딩 쪽에서 화물 콘솔 및 창고 경험이 있는 입장에서 몇 마디 말씀드리자면 안전관리자는 신입 채용 장벽이 높습니다. 그래서 무역회사나 포워딩 쪽으로 일을 배워 보시는게 나을꺼 같습니다! 
