,sentence,sentiment
352,작성 아우트라인을 토대로 일단 써보세요,Negative
1581,그 중요한 최적화를 위해 기본적인 확률과 통계 기초 학문 와 그 통계학을 활용하는 데이터 분석 기법 활용 예식을 배우는데 이런 기초 토대를 잘 쌓고 나서야 최적화를 어떻게 할지 제대로 고민할 수 있는 레벨이 되는 것을 이제야 깨달았습니다,Negative
1583,하지만 저도 그랬고 대다수의 학생들이 그 기초 토대를 배우는 과정에 대해 많이 지루함을 느끼실 것 같아요,Negative
2316,또한 이게 자연과학인지 공학인지 상당히 혼란스럽기도 하다 학년이 되면 그동안 배웠던 자연과학 지식들을 토대로 공업적으로 활용 가능한 응용 학문들을 배우게 된다,Negative
3789,아래 내용은 인천대학교 학번 후배들의 면접 준비 및 면접 과정을 토대로 가져온 내용입니다,Negative
3795,인천대학교 산업경영공학과 커뮤니티 공지사항 최신 게시글 년 제차 창업 장학금 신청 안 월 일반인 지식재산 교육과정 안내 제회 스마트 인천항 챌린지 아이디어 학기 학생생활상담소 상담 신 더 보기 본인의 면접 모습 촬영하기 자기 면접 영상을 촬영해서 돌려 보면 안 좋은 말투나 자세 습관을 고치는데 유용해요 면접 시 태도 시선처리를 잘하는 것이 당연히 좋고 졸지 말고요,Negative
4573,흔히 분석 교재나 참고서에 있는 데이터는 일반인이 쉽게 받아들일 수 있는 레벨의 데이터로 구성된 경우가 많습니다,Negative
1681,화학생물공학부 불합격 최고점 기계항공공학부 기계공학전공 불합격 최고점 기계항공공학부 우주항공공학전공 불합격 최고점 재료공학부 불합격 최고점 건축학과 불합격 최고점 여긴 너무 표본이 없네요,Negative
3633,화학생물공학부 명 최초 커트 최종 커트 불합격 최고점 기계항공공학부 기계공학전공 명 최초 커트 최종 커트 불합격 최고점 기계항공공학부 우주항공공학전공 명 최초 커트 최종 커트 불합격 최고점 재료공학부 명 최초 커트 최종 커트 불합격 최고점 건축학과 명 최초 커트 최종 커트 미상 분명히 명 추함인데 데이터가 없네요 불합격 최고점 여기 제보가 절실합니다,Negative
8479,산업공학과 생물공학과 신소재공학과 에너지공학과 화학공학과 오늘 준비한 자료는 여기까지입니다,Negative
