,sentence,sentiment
2415,기초과정은 두 프로그램 공통으로 기초수학 기초과학 및 전산학으로 구성되며 전공과정은 화학공학프로그램의 경우 화공 양론 화공 열역학 반응공학 단위조작 및 공정제어 등 공학적 종합설계 능력을 갖추어 화학공학 엔지니어를 배출합니다고 분자 공학 프로그램에서는 고분자 소재의 합성 물성 분석 및 가공 의약품 및 정밀화학소재 등 응용화학소재와 관련된 고부가가치 첨단소재에 대한 전공심화교육과정으로 구성되어 있습니다,Positive
810,앞으로 공학이 더욱 중요해질 것이고 특히 산업공학은 금융공학이나 디자인 분야 등으로 확대가 되고 있기 때문에 산업정보시스템공학과를 비롯하여 이쪽으로 학과를 결정한다면 좋은 직업을 갖는 데에도 더욱 유리할 것이라 판단됩니다 선문대의 학과 정식 명칭은 산업경영공학과로 공학적인 지식을 토대로 과학적 경영을 선도하는 기술경영 인재를 양성함으로써 제조 분야의 품질 생산 물류 및 산업안전 분야의 전문 인력을 키우고 있습니다,Positive
1530,주요 교과인 국어 영어 수학 점수가 낮아도 점수가 높은 다른 과목으로 대체가 가능하답니다 선문대 산업경영공학과는 공학적인 지식을 토대로 과학적 경영을 선도하는 기술경영 인재를 양성함으로써 제조 분야의 품질 생산물류 및 산업안전 분야의 전문 인력을 키워요 자동차 산업 및 산업에서의 품질 비용 안전 생산성 등을 최적화하는 방법을 배워 익히고 적요시키는 전문가를 배출합니다,Positive
1908,쉽게 풀어보면 평소에 수치 계산에 관심이 많으면 좋고 합리적인 의사결정을 중시하거나 좋아하는 경우라면 산업공학과에 관심을 가져볼만해요 선문대에 산업경영공학과가 개설되어 있는데 공학적인 지식을 토대로 과학적 경영을 선도하는 기술경영 인재를 양성함으로써 제조 분야의 품질 생산 물로 및 산업안전 분야의 전문 인력을 키워요 자동차 산업 및 산업에서의 품질 비용 안전 생산성 등을 최적화하는 방법을 배워서 익히고 적용시키는 전문가를 배출하고 있답니다 전공지식을 활용한 필리핀 현지 기업의 제조 컨설팅 프로젝트를 통해 실무 역량 강화를 위한 필리핀 전공 연수를 실시하고 있고요 호주 디킨 대학교 복수학위 프로그램은 산업경영공학과에서 년 재학 후 호주 디킨 대학교에서 년 유학하면 개 졸업장을 동시에 수여받을 수 있는 혜택도 주어진답니다,Positive
2247,회 해외연수도 지원해주니 참고하시면 될 것 같아요 선문대 산업경영공학과는 고학적인 지식을 토대로 과학적 경영을 선도하는 기술 경영 인재를 양성함으로써 제조 분야의 품질 생산물류 및 산업안전 분야의 전문 인력을 키웁니다 자동차 산업 및 산업에서의 품질 비용 안전 생산성 등을 최적화하는 방법을 배워 익히고 적용시키는 전문가를 배출하고 있습니다,Positive
2309,이렇게 나온 분석 자료를 토대로 중요한 의사결정이나 생산 및 마케팅 등의 전략 수립 단계 등을 다양한 분야에서 유용한 자료로 활용하고 있습니다,Positive
3929,선문대 산업경영공학과는 공학적인 지식을 토대로 과학적 경영을 선도하는 기술경영 인재를 양성함으로써 제조 분야의 품질 생산물류 및 산업안전 분야의 전문 인력을 키우고 있습니다,Positive
4148,아무리 작은 활동이라 하더라도 그곳에는 반드시 배움이 있으며 스스로 한 단계 성장할 수 있는 기회가 숨어있을 테니 산업공학과 생기부 작성할 때 참고하시면 좋을 것 같아요 선문대 산업경영공학과는 공학적인 지식을 토대로 과학적 경영을 선도하는 기술경영 인재를 양성함으로써 제조 분야의 품질 생산물류 및 산업안전 분야의 전문 인력을 키우고 있습니다,Positive
4357,산업경영공학과는 공학적인 지식을 토대로 과학적 경영을 선도하는 기술경영 인재를 양성함으로써 제조 분야의 품질 생산물류 및 산업안전분야의 전문 인력을 키워나가고 있습니다,Positive
3031,공학의 마에스트로 산업공학 대한 산업공학회 한승 시중에 대학에서 사용하는 개론 형식의 전문서적 들은 많이 출간되어 있지만 고등학생이나 일반인 들이 산업공학을 쉽게 이해할 수 있는 내용의 책 은 찾기가 쉽지 않습니다,Positive
